page_url,page_title,data_type,level,text,id
https://portal.governorsindh.com/sign-in,GI-AIWMD,headings,h3,Student Login,
https://portal.governorsindh.com/sign-in,GI-AIWMD,headings,h1,"Governor Sindh Initiative forArtificial Intelligence, Web 3.0 & Metaverse",
